round,treatment,condition,lab.id,subject.id,pair.num,key.2,key.1.1,key.1.2,key.1.3,key.1.4,levenshtein,nonresponse
1,Test-restudy,7,1,1,33,easy,easy,easy,easy,easy,0,0
1,Test-restudy,7,1,1,34,i can't remember,agree,agree,agree,agree,12,1
1,Test-restudy,7,1,1,35,bruhaha,bruhaha,bruhaha,bruhaha,bruhaha,0,0
1,Test-restudy,7,1,1,36,i can't remember,luge,luge,luge,luge,15,1
1,Test-restudy,7,1,1,37,lack,lack,lack,lack,lack,0,0
1,Test-restudy,7,1,1,38,i can't remember,i could not come up with a word,i could not come up with a word,i could not come up with a word,i could not come up with a word,22,1
1,Test-restudy,7,1,1,39,crawl,crawl,crawl,crawl,crawl,0,0
1,Test-restudy,7,1,1,40,adieu,adieu,adieu,adieu,adieu,0,0
1,Test-restudy,7,1,1,41,santa,santa,santa,santa,santa,0,0
1,Test-restudy,7,1,1,42,i can't remember,smelly,smelly,smelly,smelly,14,1
1,Test-restudy,7,1,1,43,perfume,perfurme,perfume,perfume,perfume,0,0
1,Test-restudy,7,1,1,44,vacuum,vacuum,vacuum,vacuum,vacuum,0,0
1,Test-restudy,7,1,1,45,i can't remember,rechaza,rechaza,rechaza,rechaza,14,1
1,Test-restudy,7,1,1,46,i can't remember,i could not come up with word,i could not come up with a word,i could not come up with a word,i could not come up with a word,20,1
1,Test-restudy,7,1,1,47,i can't remember,i could not come up with a word,i could not come up with a word,i could not come up with a word,i could not come up with a word,22,1
1,Test-restudy,7,1,1,48,i can't remember,linguini,linguini,linguini,linguini,15,1
1,Test-restudy,7,2,2,1,light,light,light,light,light,0,0
1,Test-restudy,7,2,2,2,yolk,yolk,yolk,yolk,yolk,0,0
1,Test-restudy,7,2,2,3,chocolate,chocolate,chocolate,chocolate,chocolate,0,0
1,Test-restudy,7,2,2,4,lasso,lasso,lasso,lasso,lasso,0,0
1,Test-restudy,7,2,2,5,rainbow,rainbow,remake-bow,rainbow,rainbow,0,0
1,Test-restudy,7,2,2,6,fun-knew-new,fun-knew-new,fun-knew-new,fun-knew-new,fun-knew-new,0,0
1,Test-restudy,7,2,2,7,hand-on-key,hand-on-key,hand-on-key,hand-on-key,hand-on-key,0,0
1,Test-restudy,7,2,2,8,intensely,intense,intense,intensely,intensely,0,0
1,Test-restudy,7,2,2,9,pibb,tab,tab-is-billed,tab-it-up,tab-it-up,3,0
1,Test-restudy,7,2,2,10,mitey,mite,mite,mite,mitey,0,0
1,Test-restudy,7,2,2,11,see-it-under,see-it-under,see-it-under,see-it-under,see-it-under,0,0
1,Test-restudy,7,2,2,12,bust-a-knee,bust,bust-in,bust-a-knee,bust-a-knee,0,0
1,Test-restudy,7,2,2,13,pampers,pampers,pampers,pampers,pampers,0,0
1,Test-restudy,7,2,2,14,wing,wing,wing,wing,wing,0,0
1,Test-restudy,7,2,2,15,bug,bug,bug,bug,bug,0,0
1,Test-restudy,7,2,2,16,race,race,race,race,race,0,0
1,Test-restudy,7,2,2,17,hair,hair,hair,hair,hair,0,0
1,Test-restudy,7,2,2,18,pick-apart,pipe-up,pibb,pick-parts,pick-apart,0,0
1,Test-restudy,7,2,2,19,pizzazz,pizzaz,pizzazz,pizzazz,pizzazz,0,0
1,Test-restudy,7,2,2,20,can-bury,can-bury,can-bury,can-bury,can-bury,0,0
1,Test-restudy,7,2,2,21,salam,sail,sail,sail,salam,0,0
1,Test-restudy,7,2,2,22,element,element,element,element,element,0,0
1,Test-restudy,7,2,2,23,disturb,disturb,disturb,disturb,disturb,0,0
1,Test-restudy,7,2,2,24,rush-what,reassure,rush-what,rush-what,rush-what,0,0
1,Test-restudy,7,2,2,25,hail,feral,hail,full-hail,full-hail,0,0
1,Test-restudy,7,2,2,26,get-down-on,get-down,get-down,get-down,get-down,3,0
1,Test-restudy,7,2,2,27,tumbley,tumbley,tumbley,tumbley,tumbley,0,0
1,Test-restudy,7,2,2,28,make-shore,make-shore,make-shore,make-shore,make-ashore,0,0
1,Test-restudy,7,2,2,29,adore-him,adore-him,adore-him,adore-him,adore-him,0,0
1,Test-restudy,7,2,2,30,divine,divine,divine,divine,divine,0,0
1,Test-restudy,7,2,2,31,sum-up,submit,succumb,sum-up,sum-up,0,0
1,Test-restudy,7,2,2,32,what's-up,what's-up,what's-up,what's-up,what's-up,0,0
1,Test-restudy,7,2,2,33,you-sing-to,you-sing-asleep,you-sing-to,you-sing-to,you-sing-to,0,0
1,Test-restudy,7,2,2,34,yammer,yammer,yammering,yammering,yammering,0,0
1,Test-restudy,7,2,2,35,jerk,jerk,jerk,jerk,jerk,0,0
1,Test-restudy,7,2,2,36,deluge,deluge,deluge,deluge,deluge,0,0
1,Test-restudy,7,2,2,37,talk-apart,take-apart,talk-apart,talk-apart,talk-apart,0,0
1,Test-restudy,7,2,2,38,croak,croak,churl,churl,churl,0,0
1,Test-restudy,7,2,2,39,king,king,king,king,king,0,0
1,Test-restudy,7,2,2,40,adult,adult,adult,adult,adult,0,0
1,Test-restudy,7,2,2,41,sand,sand,sand,sand,sand,0,0
1,Test-restudy,7,2,2,42,so-mad,so-mad,so-mad,so-mad,so-mad,0,0
1,Test-restudy,7,2,2,43,cough-up,cough-up,part-full,cough-up,cough-up,0,0
1,Test-restudy,7,2,2,44,vacuum-roomba,vacuum-roomba,vacuum-roomba,vacuum-roomba,vacuum-roomba,0,0
1,Test-restudy,7,2,2,45,chomp-the,chomp-the,chatter,chomp-the,chomp-the,0,0
1,Test-restudy,7,2,2,46,can-make,charmer,charmer,charmer,charmer,6,0
1,Test-restudy,7,2,2,47,unbinded,unbinded,unbinded,unbinded,unbinded,0,0
1,Test-restudy,7,2,2,48,chobani,chobani,chobani,chobani,chobani,0,0
1,Test-restudy,7,4,3,1,lustre,lustre,lustre,lustre,lustre,0,0
1,Test-restudy,7,4,3,2,yolk,yolk,yolk,yolk,yolk,0,0
1,Test-restudy,7,4,3,3,chocolate,chocolate,chocolate,chocolate,chocolate,0,0
1,Test-restudy,7,4,3,4,let go,long,silk,let go,let go,0,0
1,Test-restudy,7,4,3,5,rainbow,rainbow,rainbow,rainbow,rainbow,0,0
1,Test-restudy,7,4,3,6,funny,funny,funny,funny,funny,0,0
1,Test-restudy,7,4,3,7,hand dig,hand dig,hand dig,hand dig,hand dig,0,0
1,Test-restudy,7,4,3,8,stanza,stanza,stanza,stanza,stanza,0,0
1,Test-restudy,7,4,3,9,tablet,tablet,tablet,tablet,tablet,0,0
1,Test-restudy,7,4,3,10,mort,mort,mort,mort,mort,0,0
1,Test-restudy,7,4,3,11,zucchini,zucchini,zucchini,zucchini,zucchini,0,0
1,Test-restudy,7,4,3,12,boo,botany,botany,botany,botany,4,0
1,Test-restudy,7,4,3,13,pants,pants,pants,pants,pants,0,0
1,Test-restudy,7,4,3,14,wing,wing,wing,wing,wing,0,0
1,Test-restudy,7,4,3,15,bug,bug,bug,bug,bug,0,0
1,Test-restudy,7,4,3,16,far race,race,far race,far race,far race,0,0
1,Test-restudy,7,4,3,17,harem,harem,harem,harem,harem,0,0
1,Test-restudy,7,4,3,18,pipe,pipe,pipe,pipe,pipe,0,0
1,Test-restudy,7,4,3,19,pazmina,pazmina,pazmina,pazmina,scarf,0,0
1,Test-restudy,7,4,3,20,boo,boo,boo,boo,boo,0,0
1,Test-restudy,7,4,3,21,i cannot remember,salvation,salvation,salvation,salvation,15,1
1,Test-restudy,7,4,3,22,emu,limit,emu,emu,emu,0,0
1,Test-restudy,7,4,3,23,design,design,design,design,design,0,0
1,Test-restudy,7,4,3,24,rush,rush,rush,rush,rush,0,0
1,Test-restudy,7,4,3,25,fatal,fatal,fatal,fatal,fatal,0,0
1,Test-restudy,7,4,3,26,good dorm,good dorm,good dorm,good dorm,good dorm,0,0
1,Test-restudy,7,4,3,27,tumble,tumble,tumble,tumble,tumble,0,0
1,Test-restudy,7,4,3,28,mast,mast,mast,mast,mast,0,0
1,Test-restudy,7,4,3,29,adhere,adhere,adhere,adhere,adhere,0,0
1,Test-restudy,7,4,3,30,fine,fine,fine,fine,fine,0,0
1,Test-restudy,7,4,3,31,consume,consume,consume,consume,consume,0,0
1,Test-restudy,7,4,3,32,waste,waste,waste,waste,waste,0,0
1,Test-restudy,7,4,3,33,sing,zzz,zzz,zzz,zzz,4,0
1,Test-restudy,7,4,3,34,mine,mine,mine,mine,mine,0,0
1,Test-restudy,7,4,3,35,javelin,javelin,javelin,javelin,javelin,0,0
1,Test-restudy,7,4,3,36,luge,luge,luge,luge,luge,0,0
1,Test-restudy,7,4,3,37,lack,lack,take,loathe,let go,0,0
1,Test-restudy,7,4,3,38,chance,chute,chute,chute,chute,3,0
1,Test-restudy,7,4,3,39,krab,k(r)aa(b),kraab,kraab,kraab,1,0
1,Test-restudy,7,4,3,40,anti,anti,anti,anti,against,0,0
1,Test-restudy,7,4,3,41,sand,sand,sand,sand,sand,0,0
1,Test-restudy,7,4,3,42,stable,stampede,stable,stable,stable,0,0
1,Test-restudy,7,4,3,43,puff,puff,puff,puff,puff,0,0
1,Test-restudy,7,4,3,44,roomba,roomba,roomba,roomba,roomba,0,0
1,Test-restudy,7,4,3,45,chase,clam,clam,clam,clam,3,0
1,Test-restudy,7,4,3,46,karma,karma,karma,karma,karma,0,0
1,Test-restudy,7,4,3,47,bin,i could not come up with a word,uber,been,been,2,0
1,Test-restudy,7,4,3,48,bin,i could not come up with a word,i could not come up with a word,i could not come up with a word,blue,3,0
1,Test-restudy,7,5,4,1,lemon,i could not come up with a word,luminate,pearl,luminate,4,0
1,Test-restudy,7,5,4,2,egg,fry.,fry,fry,fry,3,0
1,Test-restudy,7,5,4,3,i cannot recall,sounds like chicken,chum cola,cola,chum cola,11,1
1,Test-restudy,7,5,4,4,lasso,lasso,lasso,lasso,lasso,0,0
1,Test-restudy,7,5,4,5,i dont remember,around,they go around the tree,arembo the tree,tree,11,1
1,Test-restudy,7,5,4,6,i dont remember,fake news,fake news,fake news,fake news,13,1
1,Test-restudy,7,5,4,7,i dont remember,kamakazi. happened in ww2. trench was ww1,ww1,ww1,ww1,15,1
1,Test-restudy,7,5,4,8,uzi,i could not come up with a word,i could nopt come up with a wordi could nopt come up with a wori could nopt come up with a wor,umtiti writes poetry,umtiti,4,0
1,Test-restudy,7,5,4,9,i cannot recall,inject you,inject you,inject,inject,11,1
1,Test-restudy,7,5,4,10,i cannot recall,autopsy,morgue,morgue,morgue,13,1
1,Test-restudy,7,5,4,11,i dont remember,sounds like oil in spanish. olives make oil,sounds like oil,oil in spanish,oil in spanish,13,1
1,Test-restudy,7,5,4,12,i dont remember,sounds like a vegetable. they grow in gardens,sounds green,sounds like a vegetable,vegetable,12,1
1,Test-restudy,7,5,4,13,pumba,sounds soft like cotton,soft,soft,soft,5,0
1,Test-restudy,7,5,4,14,without wings,doesnt need wings to fly,fly without wing,no wings,no wings,5,0
1,Test-restudy,7,5,4,15,,buu sounds like ew. maggots are ew,ew,ew,ew,2,1
1,Test-restudy,7,5,4,16,i dont remember,goes far,goes far,goes far,goes far,12,1
1,Test-restudy,7,5,4,17,i dont remember,hair. silk used to describe hair,describes hair,describes hair,describes hair,13,1
1,Test-restudy,7,5,4,18,gun noise,sounds like gun noises. guns have barrels,gun noises,gun noise,gun noise,0,0
1,Test-restudy,7,5,4,19,i dont remember,partitian,partitian,curtain,part,14,1
1,Test-restudy,7,5,4,20,i cannot recall,cemetary,kill bury,kill bury,kill bury,12,1
1,Test-restudy,7,5,4,21,allah,close to allah. sala to allah,allah,allah,allah,0,0
1,Test-restudy,7,5,4,22,eliminate,eliminate sci eliminates false hypothesis,eliminate,eliminate,eliminate,0,0
1,Test-restudy,7,5,4,23,i cannot recall,its yours,es tuyo,es tuyo,es tuyo,12,1
1,Test-restudy,7,5,4,24,rush,rush. frats bribe freshman,rush,rush,rush,0,0
1,Test-restudy,7,5,4,25,allah,fail badly. what happens if you mess up running of the bulls,fail badly,fail badly,fail,4,0
1,Test-restudy,7,5,4,26,fat,sounds like gordo. mattresses are fat,gordo,gordo,gordo,5,0
1,Test-restudy,7,5,4,27,i cannot recall,tumble,tumble,monkey,tumble,13,1
1,Test-restudy,7,5,4,28,i cannot recall,i coould not come up with a word,mash is on a boat,boat,mash,13,1
1,Test-restudy,7,5,4,29,add harm,add harm=honor,add harm,add harm,add harm,0,0
1,Test-restudy,7,5,4,30,dolphin,sounds like dolphin. dolphins are treasures,dolphin,dolphin,dolphin,0,0
1,Test-restudy,7,5,4,31,food,sounds like simba lion king is pretty much hamlet. posion used in hamlet,simba,simba,simba,5,0
1,Test-restudy,7,5,4,32,whats up,whats up,whats up,whats up,whats up,0,0
1,Test-restudy,7,5,4,33,i dont remember,sing easy. only when im asleep,singing is easy asleep,singing is easy asleep,sing easy,12,1
1,Test-restudy,7,5,4,34,i cannot recall,flamini soccer player took an oath of office,flamini took an oath,flamini,flamini,14,1
1,Test-restudy,7,5,4,35,i dont remember,aha sounds like a yell. yell when wounded,sounds painful,ah,ahh,14,1
1,Test-restudy,7,5,4,36,i dont remember,january,january,january,january,13,1
1,Test-restudy,7,5,4,37,i dont remember,tasha got a divorce,tasha,tasha,tasha,14,1
1,Test-restudy,7,5,4,38,i cannot recall,sounds like a frog croak.,frog croak,croak,croak,12,1
1,Test-restudy,7,5,4,39,king,king ka is a crab,king ka,king ka,king ka,3,0
1,Test-restudy,7,5,4,40,i dont remember,adios say bye to your emenies,sounds like emeny,emeny,bye,12,1
1,Test-restudy,7,5,4,41,i dont remember,sand makes silver. the silver shroud,silver,silver,silver,13,1
1,Test-restudy,7,5,4,42,some body is mad,sombody is mad they stepped in manure,sombody is mad,somebody is mad,sombody is mad,1,0
1,Test-restudy,7,5,4,43,i dont remember,sounds like puff. need lungs to puff,puff,puff,puff,15,1
1,Test-restudy,7,5,4,44,vaccume,vaccume picks up dust,vaccume,vaccume,vaccume,0,0
1,Test-restudy,7,5,4,45,i dont remember,chasm. oysters live there,i could not come up with a word,oyster,oyster,12,1
1,Test-restudy,7,5,4,46,i cannot recall,character. they live in society,charm society,charm,charm,13,1
1,Test-restudy,7,5,4,47,i cannot recall,i could not come up with a word,lie,fake,fake,13,1
1,Test-restudy,7,5,4,48,jibroney,sounds like bree,bree,bree,bree,5,0
1,Test-restudy,7,7,5,1,lemon,lose lose,pearl,lulu lemon,lulu lemon,4,0
1,Test-restudy,7,7,5,2,grandmother,yolk,yolk,yolk,yolk,10,0
1,Test-restudy,7,7,5,3,count chakula,count chakula,count chakula,count chakula,count chakula,0,0
1,Test-restudy,7,7,5,4,lasso,lasso,lasso,lasso,lasso,0,0
1,Test-restudy,7,7,5,5,i cant remember,remember,i could not come up with a word,i could not come up with a word,i could not come up with a word,7,1
1,Test-restudy,7,7,5,6,humor,funny u knew,funny,funny,funny,4,0
1,Test-restudy,7,7,5,7,harakiri,hand-to-hand,hand-to-hand,hand-to-hand,hand-to-hand,10,0
1,Test-restudy,7,7,5,8,stanza,u stanza,stanza,stanza,stanza,0,0
1,Test-restudy,7,7,5,9,tablet i buy you,tablet i buy you,tablet i buy you,tablet i buy you,tablet i buy you,0,0
1,Test-restudy,7,7,5,10,alcohol,alcohol,alcohol,alcohol,alcohol,0,0
1,Test-restudy,7,7,5,11,aceitunas,aceitunas,aceituna,aceitunas,aceitunas,0,0
1,Test-restudy,7,7,5,12,bust and i,bust and i,bust and i,bust and i,bust and i,0,0
1,Test-restudy,7,7,5,13,panda,pima,pima,pima,pima,3,0
1,Test-restudy,7,7,5,14,daedalus,daedalus,daedalus,daedalus,daedalus,0,0
1,Test-restudy,7,7,5,15,maggot,sad death,death,death,death,6,0
1,Test-restudy,7,7,5,16,i cant remember,i could not come up with a word,i could not come up with a word,i could not come up with a word,i could not come up with a word,22,1
1,Test-restudy,7,7,5,17,,ha re re,ha re re,ha re re,ha re re,8,1
1,Test-restudy,7,7,5,18,pipe,pipe,pipe,pipe,pipe,0,0
1,Test-restudy,7,7,5,19,paciente,privacia,i could not come up with a word,pa see ya,pa see ya,6,0
1,Test-restudy,7,7,5,20,kabuki,bury,kabuki,kabuki,kabuki,0,0
1,Test-restudy,7,7,5,21,say allah,allah,say allah,say allah,say allah,0,0
1,Test-restudy,7,7,5,22,e limit u,e limit u,e limit u,e limit u,e limit u,0,0
1,Test-restudy,7,7,5,23,destination,destination u or i,destination,destination,destination,0,0
1,Test-restudy,7,7,5,24,rush away,rush,rush away,rush away,rush away,0,0
1,Test-restudy,7,7,5,25,redbull,redbull fall,redbull fall,redbull fall,redbull fall,5,0
1,Test-restudy,7,7,5,26,i cant remember,go to room,go to room,go to room,go to room,12,1
1,Test-restudy,7,7,5,27,tumblr,tumble,tumblr,tumblr,tumblr,0,0
1,Test-restudy,7,7,5,28,mast,mast,mast u a,mast,mast,0,0
1,Test-restudy,7,7,5,29,add honor,add ama,add ama,add ama,add honor,0,0
1,Test-restudy,7,7,5,30,das fine,das fine,das fine,das fine,das fine,0,0
1,Test-restudy,7,7,5,31,sue me you,sue me u,sue me you,sue me you,sue me you,0,0
1,Test-restudy,7,7,5,32,wawa,wasaa,leisure,leisure,leisure,2,0
1,Test-restudy,7,7,5,33,you sing i to sleep,u sing i to sleep,you sing i to sleep,you sing i to sleep,you sing i to sleep,0,0
1,Test-restudy,7,7,5,34,yasmina,ya man,ya me and i,yasmina,yasmina,0,0
1,Test-restudy,7,7,5,35,jerry aha,jerry haha,jerry aha,jerry aha,jerry aha,0,0
1,Test-restudy,7,7,5,36,luge,the luge,luge,luge,luge,0,0
1,Test-restudy,7,7,5,37,talk alot,talk,talk alot,talk alot,talk alot,0,0
1,Test-restudy,7,7,5,38,churo,i could not come up with a word,i could not come up with a word,i could not come up with a word,churo,0,0
1,Test-restudy,7,7,5,39,bluecrab,blue crab,bluecrab,bluecrab,bluecrab,0,0
1,Test-restudy,7,7,5,40,add you and i,ad u and i,i could not come up with a word,add u and i,add u me,2,0
1,Test-restudy,7,7,5,41,sandshrew,sandshrew,sandshrew,sandshrew,sandshrew,0,0
1,Test-restudy,7,7,5,42,sam mad eye,mad day,sa mad eye,sa mad eye,sam mad eye,0,0
1,Test-restudy,7,7,5,43,tofu,tofu,tofu,tofu,tofu,0,0
1,Test-restudy,7,7,5,44,rumba,rumba,rumba,rumba,rumba,0,0
1,Test-restudy,7,7,5,45,i cant remember,chowder,chowder,chowder,chowder,12,1
1,Test-restudy,7,7,5,46,charming,charming,charming,charming,charming,0,0
1,Test-restudy,7,7,5,47,i cant remember,you buy no,u buy mi,you buy i,u buy i,12,1
1,Test-restudy,7,7,5,48,i cant remember,i could not come up with a word,i could not come up with a word,i could not come up with a word,i could not come up with a word,22,1
1,Test-restudy,7,12,6,1,lemon,lemon,lemon,lemon,lemon,0,0
1,Test-restudy,7,12,6,2,yay!,amnion,yay!,yay!,yay!,0,0
1,Test-restudy,7,12,6,3,i dont remember,check out,i could not come up with a word,i could not come up with a word,i could not come up with a word,14,1
1,Test-restudy,7,12,6,4,lasso,lasso,lasso,lasso,lasso,0,0
1,Test-restudy,7,12,6,5,remember,remember,remember,remember,remember,0,0
1,Test-restudy,7,12,6,6,funny,funny,funny,funny,funny,0,0
1,Test-restudy,7,12,6,7,hands,mariana's,hand,hand,hand,1,0
1,Test-restudy,7,12,6,8,stanza,stanza,stanza,stanza,stanza,0,0
1,Test-restudy,7,12,6,9,taboo,taboo,taboo,taboo,taboo,0,0
1,Test-restudy,7,12,6,10,mating,mort,mating,mating,mating,0,0
1,Test-restudy,7,12,6,11,no keyword,i could not come up with a word,i could not come up with a word,i could not come up with a word,i could not come up with a word,23,1
1,Test-restudy,7,12,6,12,bust,busts,busts,busts,busts,1,0
1,Test-restudy,7,12,6,13,pumbaa,pumbaa,pumbaa,pumbaa,pumbaa,0,0
1,Test-restudy,7,12,6,14,wings,wings,wings,wings,wings,0,0
1,Test-restudy,7,12,6,15,bug,bug,bugs,boo bugs,boo bugs,0,0
1,Test-restudy,7,12,6,16,far easy,foal,far easy,far easy,far easy,0,0
1,Test-restudy,7,12,6,17,hairy spider,hairy,hairy spider,hairy spider,hairy spider,0,0
1,Test-restudy,7,12,6,18,pipe,pipe,pipe,pipe,pipe,0,0
1,Test-restudy,7,12,6,19,pizza,pizza,pizza,pizza,pizza,0,0
1,Test-restudy,7,12,6,20,bury,bury,bury,bury,bury,0,0
1,Test-restudy,7,12,6,21,salad,ark,salad,salad,salad,0,0
1,Test-restudy,7,12,6,22,eliminate,eliminate,eliminate,eliminate,eliminate,0,0
1,Test-restudy,7,12,6,23,destroy,destroy,destroy,destroy,destroy,0,0
1,Test-restudy,7,12,6,24,rushing,i could not come up with a word,i could not come up with a word,rushing,rushing,0,0
1,Test-restudy,7,12,6,25,falling,ferdinand,falling,falling,falling,0,0
1,Test-restudy,7,12,6,26,go door-to-door,go door-to-door,go door-to-door,go door-to-door,go door-to-door,0,0
1,Test-restudy,7,12,6,27,tumbling,tumbling,tumbley,tumbling,tumbling,0,0
1,Test-restudy,7,12,6,28,mushulu,mushulu,mushulu,mushulu,mushulu,0,0
1,Test-restudy,7,12,6,29,no keyword,honor,honor,honor,honor,7,1
1,Test-restudy,7,12,6,30,diamond,diamond,diamond,diamond,diamond,0,0
1,Test-restudy,7,12,6,31,some fugu,fugu,some fugu,some fugu,some fugu,0,0
1,Test-restudy,7,12,6,32,wassaap,wazzzupp,wasaaap,wasaaap,wassaap,0,0
1,Test-restudy,7,12,6,33,u sing me,u sing me to sleep,u sing me,u sing me,u sing me,0,0
1,Test-restudy,7,12,6,34,ya meanie,ya meanie,minister,ya meanie,ya meanie,0,0
1,Test-restudy,7,12,6,35,jerry! ahh!,jarring,jerry! ahhh!,jerry! ahhh!,jerry! ahh!,0,0
1,Test-restudy,7,12,6,36,the luigi,i could not come up with a word,the luigi,the luigi,the luigi,0,0
1,Test-restudy,7,12,6,37,he takes and he takes and he takes,take,he takes and he takes and he takes,he takes and he takes and he takes,he takes and he takes and he takes,0,0
1,Test-restudy,7,12,6,38,churro,croaking churros,churros,churro,churro,0,0
1,Test-restudy,7,12,6,39,claw,claw,claaw,claaw,claaw,0,0
1,Test-restudy,7,12,6,40,no keyword,i could not come up with a word,alex,i could not come up with a word,i could not come up with a word,9,1
1,Test-restudy,7,12,6,41,sandra dee,swaddle,sandra dee,sandra dee,sandra dee,0,0
1,Test-restudy,7,12,6,42,saturday,saturday,saturday,saturday,saturday,0,0
1,Test-restudy,7,12,6,43,perfume,pressure,perfume,perfume,perfume,0,0
1,Test-restudy,7,12,6,44,bambi,dusty,bambi,bambi,bambi,0,0
1,Test-restudy,7,12,6,45,chowdah,chowdah,chowdah,chowdah,chowdah,0,0
1,Test-restudy,7,12,6,46,charming,charming,charming,charming,charming,0,0
1,Test-restudy,7,12,6,47,u been,u "bini" cheating,u been,u been,u been cheating,0,0
1,Test-restudy,7,12,6,48,i cannot remember,brie,brie,brie,ja brie,14,1
1,Test-restudy,7,14,7,1,i don't remember,bougie,bougie,bougie,bougie,14,1
1,Test-restudy,7,14,7,2,i don't remember,yolk,yolk,yolk,yolk,15,1
1,Test-restudy,7,14,7,3,i don't remember,chutney,chutney,chutney,chutney,14,1
1,Test-restudy,7,14,7,4,lasso,rope,rope,rope,suicide,5,0
1,Test-restudy,7,14,7,5,rambo,renovate,i could not come up with a word,don't remember,rambo,0,0
1,Test-restudy,7,14,7,6,i don't remember,i could not come up with a word,i could not come up with a word,i could not come up with a word,i could not come up with a word,22,1
1,Test-restudy,7,14,7,7,i don't remember,ww1,ww1,ww1,i could not come up with a word,16,1
1,Test-restudy,7,14,7,8,uzi,rhetoric,don't remember,i could not come up with a word,i could not come up with a word,7,0
1,Test-restudy,7,14,7,9,i don't remember,witch,i could not come up with a word,i could not come up with a word,i could not come up with a word,15,1
1,Test-restudy,7,14,7,10,martyr,martyr,martyr,martyr,martyr,0,0
1,Test-restudy,7,14,7,11,i don't remember,zuchinni,zuchini,zuchini,zuchini,16,1
1,Test-restudy,7,14,7,12,i don't remember,i could not come up with a word,i could not come up with a word,flowers,flowers,14,1
1,Test-restudy,7,14,7,13,puff,pillow,pillow,pillow,pillow,5,0
1,Test-restudy,7,14,7,14,cloudu,birdu,birdu,birdu,bird,4,0
1,Test-restudy,7,14,7,15,big worm,fat worm,fat worm,big worm,fat worm,0,0
1,Test-restudy,7,14,7,16,fatally,cowboy,cowboy,cowboy,cowboy,6,0
1,Test-restudy,7,14,7,17,habibi,habibi,habibi,habibi,habibi,0,0
1,Test-restudy,7,14,7,18,pipe,smoking,smoke,smoke,smoke,4,0
1,Test-restudy,7,14,7,19,patio,patio,patio,patio,patio,0,0
1,Test-restudy,7,14,7,20,seppuku,seppuku,seppuku,seppuku,seppuku,0,0
1,Test-restudy,7,14,7,21,salad,asalam,asalam,asalam,asalam,2,0
1,Test-restudy,7,14,7,22,elmer's,elmer's,elmer's,elmer's,elmer's,0,0
1,Test-restudy,7,14,7,23,destitute,vestido,vestido,vestido,vestido,5,0
