Exclude,V1,Q40,Q41,Q42,Q43
0,R_3ffvayuVVGCDMMy,yes,yes,I really don't know,
0,R_1QKoFAopa67yCUg,Yes,No,Competition and Affirmative Action are related. The statues come from European cultures?,
0,R_2Ennvm83e81lXbA,yes,why did I have to look at picture of that statue,relation between discrimination and affirmative action,no
0,R_2XnxFF1eIAniZ9s,Yes,No,None,No
0,R_2cAgRfWqsER8SoM,Yes,Yes,Not sure,No
0,R_udE8QVU2pKYJjhf,yes,no,personal background,no
0,R_29svV3CS6UKGP6A,yes,no,none,no
0,R_xsmynmenrfF8VIl,yes,yes,no,no
0,R_3GjrQ84tYTRYiB5,yes ,no ,,
0,R_31gvgpMIZTwMsRJ,yes,no,how we perceive things based on our initial attitudes,more specificity
0,R_1irClIjaR4J6poi,yes,no,unsure,no
0,R_2TF2yrfqANblC6t,yes,no,the study about fairness/competition definitely falls in line with how some people view affirmative action.,no
0,R_1gHCygpv9GG4fyt,Yes,Yes,All have to do with equality/ democratic principles,Clearer directions for first part
0,R_1liVjo37FmkBr3C,Yes,Yes,Correlation between religious view and social problem,I think it is great 
0,R_1IRcwZwPcAIlh93,Yes,Yes,To find connection between talking about religion and God and the view on Affirmative Action. A control group may not have received the 'God' part of the questionnaire. ,
0,R_3Jse3dCdzsjb9dn,Yes,No,"C is a thinker, B is about you, and A is you thinking.",no
0,R_2XhrUeFUOItW4RQ,yes,no,no,no
0,R_1GIkTQZQ1lq4Za5,Yes,Yes,Not sure,No
0,R_RxJRMpkiBkpb4Gt,Pretty much,"I didn't get the instructions about the affirmative action essay--it seemed as if you told me the answer (""Jane agreed to do it"") before you asked me ""What do you think Jane's attitude towards aa is?""",No freaking idea,Nope
0,R_10AVwg2aVTg3is4,yes,no,Perspective,Explicitly draw connection between each part
0,R_xsjgqEtqHpcvF17,Yes,No,Perspective,Highlight the relationship
0,R_27Qf792F7uCYRaA,Yes,The sculptures did not seem to have any relationship with the affirmative action questions,"I think the first two mini-studies are used to distract from the real study, study c.",No
0,R_eEtDYUYnzBh8nTP,Yes,No,Perception,I enjoyed this questionnaire
0,R_2zjWYxvfwsFLeZk,Yes,Yes,No idea how the statues related,no
0,R_XBySUWHhcAjCOat,Yes,No,The relationship between your own opinion and something you have to write from a certain perspective,No
0,R_1gOQ6MiOY72bSpX,Yes,No,Competition and Affirmative action,no
0,R_2xz06b9cy0lhKvZ,yes,no,"I can't really see a relationship between the first study and the second two, but the second two both seem to deal with discriminqation",No
0,R_3nufMOCPuln5ZFk,Yes,no,controversial topics,no
0,R_3DjNKNmD7stDWIF,yes,yes,god knows,no
0,R_12DMK3dYAhnIDuo,yes,no,none,n/a
0,R_3lYbPk40ewm6h9x,yes,yes,no clue,no
0,R_3I64R8jg3IpAJOl,yes,no,"not sure about the statue part, but the rest is looking at different people's beliefs on affirmative action and religion",
0,R_xbiubSevZ4oTa0x,yes,no,none,no
0,R_2CwiZaNum54mmXV,yes,yes,I dont know,nope
0,R_1o23symUVpXKgXU,yes,a little bit,I'm not sure,N/A
0,R_1oyVea3S2OExcFi,Yes,No,Association?,No
0,R_6FsCFVOBKAxlfpv,Yes,No,They test Perspective,"Nope, it was well-conducted"
0,R_6J4wM6NUGfuNjFv,yes,no,none,no
0,R_3MFpinIum9MF7vh,Yes,No,Christians may be less likely to approve of affirmative action?,Not really
0,R_1gSIwKIWzl2iJxP,yes,no,,no
0,R_DwrTLQIxVe9eXhD,yes,yes,i don't know,no
0,R_We316xPlPFTSpcB,Yes,No,Unsure,No
0,R_3gZ5c8t3618n6yC,yes,no,different views,no
0,R_YQAzdizHsRDhYQ1,Yes,No,Color and discrimination?,-
0,R_1I3MFcCD6sFKPJi,Yes,No,No clue,No
0,R_agvSfjZcVU8GnTP,Yes,Lots of varying questions,I do not know,No
0,R_2R23jcBrKiHc02P,Yes,No,None,
0,R_1GH5tFbg8F4XVjG,yes,no,olymipcs/competition ,n/a
0,R_2CBTTzO9G5TPucm,Yes,Yes,I don't know,"I'm not sure what happens if you click A/B/C multiple times in a row, but maybe have it so you can't do that so it'll be less confusing?"
0,R_1fmbQxQVMIoZzUr,yes,yes,"religion, art and politics",no
0,R_1K7KxEiiwpVM6Zq,yes,no,,no
0,R_3PaEJqS11rKaha6,Yes,Somewhat,Testing certain biases ,None
0,R_1lnMtPFm1ClK4dg,Yes,No,How our religious views affect our view on societal issues,No
0,R_1pYvn9QGoq9AScp,yes,no,makes you contemplative ,no
0,R_2dMXsKhq9wxrdky,Yes,Yes,Whether looking at art can change your opinion on social programs in the USA.,No
0,R_qKrPrx7xiybNVmN,Yes,No,Determining attitude towards affirmative action based on personality,N/A
0,R_8IWCZdSuy4FMZ9v,yes,no,no clue,n/a
0,R_1pMvWwG9DtXOm7T,yes,"yes, the pictures",I have no idea,no
0,R_10qJbVFQgUpfsIb,Yes,yes,"Demographics & their relationship towards racial issues, plus stuatues. ","nope, good job. "
0,R_2ureOibl323ejng,Yes,Yes,Not sure,No
0,R_3RxeLqq6PlVHEqo,Yes,No,Perspective,n/a
0,R_2CvIHCFUvIduthS,Good,No,I don't know yet,N/A
0,R_33BfkBPiOEh9exf,yes,no,thinking?,no
0,R_dd0R44B4VkLK8Vz,yea,no,i dont know,no
0,R_24q6rUgq6nbmnEI,Somewhat,"Yes, the pictures of the thinker","No idea, confused",
0,R_2pQ3hLeh5FmF6db,yaaas queen,yaas ,much psych,yes
0,R_12gMmHEp0hyBvUN,Yes,Yes,A link between religion and social/civil rights,No
0,R_bko7aSEAmhrgxWN,Yes,The request to study four pictures of the discus thrower statue without any follow-up,Opinions on affirmative action,
0,R_1ptaCmGiuxup2TL,Fairly clear,No,"Based on which studies taken first, there might be a correlation between answers or how people might change answers after completing varying studies",No
0,R_3kiia8geyvpXrKh,yes,the relationship between the studies,I don't see any correlation,Explain the relationship between the studies
0,R_22GnubAsBWBbjpi,Yes,No,Measure the angle we look at things,No
0,R_u4SKELNfSnsI2fD,Yes,No,Nothing,No
0,R_1joB3bnL9PebP2r,yes,The study with just pictures,Maybe to study implicit attitudes,no
0,R_ZgWFtI5QzZz4A6t,yes,no,I don't know,no
0,R_3NP0NrF10gSm7pa,Yes ,No,I do not see a relationship,N/a
0,R_3qfI8mpdlIzmUOs,Yes,No,Differentiation,No
0,R_2QFYBhps50P8za2,yes,the pictures,what god created and what is now,no
0,R_3RwSAo407IzK5P6,yes,no,The only connection I can think of is that the images were different perspectives of the same thing; these questions made us think about different perspectives.,"no, I thought it was clear."
0,R_3NKgvyPv9P43vu3,yes,somewhat,social ideologies and opinion on gov intervention,very good survey!
0,R_1PXmkqfgGBbe8hv,Yes,"The statues are a bit strange, not sure what they're for",,
0,R_1je40ZTm0VfXRIp,yes,yes,i dont know,what was looking at the thinker for?
0,R_2cpIFY4ipHhWXVL,Yes,No,I don't know what the relation to the statues was. ,Explain after
0,R_2fiXj7iLCfsGoGL,yes,no,Political view standpoint with personal opinion,no
0,R_3ReI0h0MbI9jxCp,yes,yes,I have no idea,N/A
0,R_1imrV8ieSeI8SXP,yes,no,i dont know,no
0,R_7VD4EIKhIM1tF05,yes,yes,none,no
0,R_2cpgqHkcUUPjbBK,yes,yes,determing a social economic background based on religion and race and using that to see how it influences opinion on affirmative action,asking political party since that influences opinion on affirmative action
0,R_yEGP3YsHsg54dCV,yes,no,Not sure,no
0,R_1dht34DYkvPko0q,yes,no,,no
0,R_3HSKdHmiq5hxXvT,Yes,No,I am not sure,No
0,R_SUenuo5oEJ3PDUJ,Yes,No ,"All have something to do with power dynamics, esp. related to discrimination and affirmative action. ",N/A 
0,R_1msHkjcNybbQamM,yes,no,I don't know ,no
0,R_2QVTC4XBzntoQ5U,,,,
0,R_3E9y3kltfEonEqt,yes,no,no relationship,nope
0,R_ZCY1kWfojBzYrLj,Yes,No,None,No
0,R_1q9E8vw02qh67bH,Yes,The three mini-tests are strangely put together,The pondering/struggling man might need help to improve his condition.,None
0,R_poctzy8xJXktE41,yes,the pictures were strange,not sure,none
0,R_1l6l94pY9RXSSgk,yes,no,no idea,no
0,R_bgBd6OmXokStAGt,yes,no,All the mini-studies were used to have me intently analyze information given.,
0,R_2tro1C5aCDEjR7s,yas,nope,they all involve dead babies,venmo 
0,R_2zAOavUemA5nb7E,yes,not really ,not really,no
0,R_3MScE5Oj8x0pScc,yes,no,religious affiliation and political/policy beliefs,no
0,R_2trmpaT9iYkSR6Z,yes,no,see how liberal people are,no
0,R_pyfhGT6RCKUS0Kt,yes,yes,i don't know,i don't know
0,R_eLiYtfW8POWuSpX,,,,
0,R_3iwg0ntS2c2nDbh,yes,no,nothing I can tell,no
0,R_7UQYhYZbfhKQVFv,yes,no,thinking and perspective,no
0,R_5jXdYws2fH1uKtj,Yes,No,They all evaluated me ,No
0,R_1joy17zicumJ6WV,Yes,No,I think it's connecting religion and ideology maybe? ,No
0,R_RbmgnUXi92ME8XD,Yes,The pictures,Correlation between religious feeling and views on race/affirmative action.,Didn't really understand the Thinker pictures.
0,R_31ocxT4YaELkOFw,Yes,No,I don't see a relationship,Wording on first questionnaire was complicated
0,R_3wL08xVJZsYb2DL,yes,no,,
0,R_6rsDkS1xMj0sgbD,For the most part,The correlation between the mini-studies,Whether religious attitudes correlate with acceptance of affirmative action?,n/a
0,R_3oA6GWutfAnFlB0,yes,somewhat,no idea,no
0,R_3q8LaDtobe6WMxu,Yes,Not necessarily,Moderate ideological correlation,No
0,R_Zqvm3s8dzvznykp,Yes,No,No relationship,No
0,R_1dyINIRFHIj59lf,Yes,No,Perspective shifts. All very interesting,"Nope, good job"
0,R_XFWZmq71dAlSpoZ,Yes,Not really,They check my background to see if there is any pattern associated with my answers,
0,R_1LkG15g39QE5rFn,yes,the studies don't really seem related,I'm not sure ,
0,R_31ACkSMpTT5jtaO,Yes ,No ,Determining the different views different races have on social issues ,no
0,R_e3CQomaZuFk8o4p,yes,no,"relationship between gender, race, and age and viewpoints on affirmative action",no
0,R_AKCsBuLrKCx2y6l,yes,i didn't understand the purpose of looking at the 4 pictures for 30 seconds since i didn't have to do anything with that information later.,two of the mini studies were gauging my political opinions,nope
0,R_ut7SJ1sRJKJXfO1,,,,
0,R_20Pc9mRT7xeghwO,Yes,Yes,No clue,Nope
0,R_3R1uEFb74AKnOfJ,yes,yes,Not sure,no
0,R_1jrDMI59Hf5noI9,yes,no,perspective,no
0,R_xmeg7uO36FsC9UJ,Yes,Slightly,Perception of society,N/A
0,R_2aKNzXIKZ5e0OJS,yes,no,,
0,R_2ci5wfbM8GxvGit,Yes,No,How images of competition influence one's views of personal influence and programs like affirmative action. ,The wording on some of the statements on affirmative action was slightly confusing.
0,R_2QheDyYEq00qnLU,yes,no,Our minds jump to conclusions about individuals' thoughts even if we do not know what exactly they are truly thinking.,n/a
0,R_2P80W00adPzPhRs,Yes,I don't see a connection between the mini-studies ,Can't seem to say,
0,R_3hsU3N8ZfjJoqeb,Yes,Yes,Political point of view,Give a definition for Affirmative Action for those who aren't 100% on what it is
0,R_2ri3i2trT386uXM,yes,yes,not sure ,no
0,R_3qJXi0U9iMOfmLY,Yes,No,I don't know ,No
0,R_1AhNHNgfbZ9JLZ7,yes,no,I don't know,no
0,R_utb7so67SggxosN,Yes,No,No relationship,None
0,R_7ODUrBMIaq1VxhD,yes,no,american society,no
0,R_3VsfwI5inY8S6d3,yes,"yes, the statue pictures",to view my background and status and compare it to my views on potical and racial matters,"I felt like the ""Jane's essay"" could've used another paragraph to fully get her voice through to the reader on her real stance of the issue"
0,R_2zeH89H5VFzMcKr,yes,no,i have no clue,maybe make the connection more clear?
0,R_1Qsi0dPkHbf0dft,Somewhat,Yes,The relationship between the belief in God and someone's belief in affirmative action,Some of the questions asked seem like leading questions
0,R_1hQNjmX84DLHkVH,Yes,No,The two studies were meant to increase emotional responses by invoking religion,No
0,R_1rokes8ivRvoRlp,yes,no,contemplation,no
0,R_1P1KtoGYDO6UssR,yes,no,What our opinion is on the governments role and how it should or should not assist citizens in gaining success,
0,R_1IR8iWLEk1ypu9a,Yes,No,Not a clue,
0,R_33dqVHfkzIOeExN,Yes,The mini-studies are all very different,I don't know,No
0,R_3iEbDlNNWn4PdWP,Yes,No,Unsure,No
0,R_1N9c7eUwGfxvDm6,pretty clear,yes- the connection of the essays to the pictures,I have no idea,
0,R_2qvIv6oiXxDml2r,yes,no,i dont know,not really
0,R_Uo5y9DKWxuscWzf,,,,
0,R_yQNHeWI3SYCioM1,yes,the two questions regarding Jane's views seem rather redundant. ,Thought. ,N/A
0,R_3kv0I3aFKjUoUAO,Yes,Yes,I don't see any,
0,R_1WVQtDUa98vkjLj,yes,i didn't get asked anything about the pictures,no idea what the images have to do with anything,no
0,R_3PoQfKDBa6OUOT5,Yes,A little bit,How one topic provokes what I think,
0,R_2QrmiIxsrF82Wxr,yes,no,none,none
0,R_2723T2mK15nkC75,yes,no,religion and freedom,no
0,R_sSbD5209fewdyff,Yes,The pictures. ,Willingness to follow directions ,"No, this was a confusing project."
0,R_1MLDE8gh6CqdzOP,yes,yes,"Thinking relates to success, and spiritual/religious beliefs impact conceptions of what leads to success. Then, we are asked about a heavily controversial factor in potentially determining/undermining success of various people, which is Affirmative Action.","Nope, not sure what all even led you here."
0,R_3ncGVLjD6f2S0EZ,Yes,The statues of the man throwing a discus,No,Fun questions 
0,R_2SGehvKF9LPZ3Lg,Yes,No,Unsure,
0,R_2YQuWJSpw895jKZ,Kind of,No,Unsure,The instructions for the essay reading were kind of confusing as to what exactly Jane's situation was
0,R_2Y3Uqyudokyv7TF,Yes,The pictures were strange,No idea,None
0,R_1pRqesZcfcpm6ei,yes,no,noen,no
0,R_2q9hZEFjafDHQLa,yes,yes,perspective about any one topic,a little more insight as to what the studies are about (unless ambiguity is the point)
0,R_rkgvAMwTPb6Nw8F,yes,not really,I honestly do not know,I cannot
0,R_31ZfgWzNnPzSZjr,,,,
0,R_2P1fQDTmYAsZ0IO,yes,no,lots of agree/disagree questions,no
0,R_2asCLjuszP5L9mn,yes,no,how my religious views and background factor into how i view discrimination. And study A could have tested how well I payed attention to the instructions. ,
0,R_OHJeupHZNyEQsiB,Yes,no,the way images affect personal view points,no
0,R_1IymWIZFlmHCZ5l,yes,no,,
0,R_2talMaPsnj0j7XS,Yes,Not sure how the pictures related to the questionnaires.,"I'm not sure about the pictures, but the two sets of questions may be relating religious preferences to view on discrimination and affirmative action.",No.
0,R_2zHcKUFbhTNjFV5,yes,no,unsure,no
0,R_3h0IT5prIL97g4r,Yes,No,God?,Not sure the point
0,R_1i55f6lGOV1pjCa,yes,no,unknown,no
0,R_2zqn00YZO3ZB2qz,yes,Study a,Affirmative action,no
0,R_O85bTNoSfwuvVfz,,,,
0,R_UF5vq7t0T3aK7Ul,Yes,The Thinker,introspection,none
0,R_R8I2sxT5Q66JMIN,Sort of,Yes,It started out with philosophers and now it has philosophical questions.,"Unsure of the intention of the study, so no"
0,R_2anlhxyZflXkrJM,yes,the statues at the begining,im not quite sure,no
0,R_12xSsjGaFlSSQVY,yes,no,affirmative ,
0,R_29nYr6Y31c5O3xN,yes,no,I can't think of any,Can't tell without knowing the end goal
0,R_3FQFylbKg4Z5ZLw,Yes,Don't know what the relationship between the mini-studies was.,No idea,N/A
0,R_bJktLXjb6S4cNqx,yes,no,social justice,no
0,R_xxfcd5L65eEPqHn,yes,no,"artistic view, demographics, and affirmative action stance can all relate to political ideology",hint at a more clear connection between segments
0,R_3qVf8oofllLFUlO,Yes,the man thinking,Not sure,no
0,R_1Eiewd7E6qOXrjN,Yes,The essay,The amount of effort,Sorry no
0,R_1IEMkUH29koA5YA,Yes,No,Very little,None
0,R_1GV2bH4Gi7NDJzW,Yes,The pictures,I have no idea,I can't think of anything. 
0,R_bsH5HEhQQu7bijn,Yes,No,I'm not sure ,This is good
0,R_3gXdxk0ZN0LuNzj,,,,
0,R_2Ptc0KTwR1jxX6M,,,,
0,R_5yZHtM7YM0lofqV,yes,no,religious affiliation's relationship to affirmative action,no
0,R_3P5NovRDkDPvzAP,yes,no,Perspective based on personal background.,None that I can think of.
0,R_2pVsKivxPaaTxpE,Yes,No,Comparing Religious beliefs with peoples opinion on affirmative action,N/A
0,R_1nUzJvO6YyMHKS2,yes,no,none,
0,R_2bOgFZWu0OAw4ok,Yes,Yes,I don't know,
0,R_WqWzNTryvBltrm9,Yes,Yes,Social Fitness & Accomolishment,NA
0,R_Y97QOfX06Qepz2N,Yes,The 4 images,Not Sure,
0,R_V1OMaYuYL3itKx3,Yes,No,I think relationship is the political aspect.,No
0,R_2YLDMCCIkpAAcnG,Yes,No,Politics and Religion,No
0,R_2w0P7h5vrv6v3DG,yes,no,the thinker painting represents the thinking on the questionaire about discrimination ,no 
0,R_eQd5m3NERtcdSal,,,,
0,R_Z2lxne9pHI31nJD,Yes,No,Relationship between Religion & Politics.,No.
0,R_27D4ygWjoODGA9W,Yes,No,Religion & Politics,No
0,R_277LwJCSmUZNMFI,Yes,No,The only relationship that I can't pinpoint is the 4 picture questionnaire in study A,No
0,R_3gNs00qUFRiPykG,yes,yes,not sure,not really
0,R_3sczFtgY7Wy86N2,Yes,No,,
0,R_2DUN72dxxC0YqNz,Yes,Yes,Relate certain characteristics with opinions?,
0,R_DquP0K6kaArqxRn,yes,no,N/A,N/A
0,R_1o7ORei99lRjMXz,Yes,Yes,,
0,R_30i4DYe5C6EgYNN,yes,no,N/A,N/A
0,R_2qgvctDK5vAb6Ge,Yes,Yes,The Thinker is reflective of us; you want us to think about affirmative action and how people of different backgrounds think about affirmative action.,Less timed requirement for the Thinker
0,R_2PCdRukLMAlSWzb,Yes,No,Interpretations,no
0,R_1r7AZIdYkwF8sXA,no,"yeah, you said there would be an essay after the instructions and there was none, it was before the dr. whoever stuff",none,clearer instructions
0,R_2tsYprE7mO1BAmC,yes,yes,Perhaps participants who viewed the images first before answering the questions may have answered differently had they viewed the images after the questions.,N/a
0,R_3sBw6oscuJ3BNWI,yes,no,personal beliefs/values,
0,R_10TRwBeAmM5IcFJ,Yes,no,how we see the world a view perspectives around us,define more fully affirmative action
0,R_Y4XZFoHrKctzweR,yes ,no,yes,no
0,R_9zgG4x10a1azOQ9,Yes,No,The answers in one might influence the answers in another (e.g. belonging to a minority and attitude towards affirmative action),
0,R_2wEslO9rOT3DFXo,yes,no,thought,Elaborate a tad bit more.
0,R_3dJRN8bNNa2w1aC,Yes,No,N/A,No
0,R_Wd3Jy8V2ASogs6J,yes,no,each mini-study forces me to analyze my own perspective of whatever it is I'm being asked to do.,
0,R_1jwfOdeVoDRXgBq,Yes,No,I don't know,No
0,R_QhzhwZyKLgRRKKd,Yes,No,I don't know,N/A
0,R_2DSS43clcVN3DMT,yes,"yes, the pictures, all the same",diversity,
0,R_eKjIOL2pdgob1ux,yes,the series of pictures seemed to have no correlation with the other two studies,there is a general theme of discrimination/political views (except the four picture mini study),
0,R_1K78viryKtycr1C,Yes,The naked man sculpture,I don't know,No
0,R_viE0J8gSuQodr7r,Yes,No,No real relationship; they're trying to get participants to focus. ,
0,R_3e8Dtxh3jujyGue,yes,yes,Reading between the lines,no
0,R_3JeIAaKrj0ZtLBX,yes,no,none,no
0,R_3pXBpENS2OUTi01,yes,pictures ,assessing beliefs on modern racism ,improve essay quality 
0,R_3PYS7aHlnL0y9mb,yes,no,I don't know,nope
0,R_bBgfkQ9sisPZ7gd,yes,no,nothing,no
0,R_2QKaeCVxUFFbJzC,YES,NO,,
0,R_3KHnpgSjaxjbDoz,yes,no,...no comment,not sure what your looking for so no
0,R_2QnadAlWxKid4cv,yes,no,religion and appreciation of art and support of progressive ideologies,nope
0,R_2zr9fVNwdUE81Kr,Yes,Yes,I don't know,n/a
0,R_22YBEVg9xYv3pyj,yes,no,There appears to be no relationship,no
0,R_3nNsAf1dZ2LCpNV,Yes,No,Social problems and topics.,
0,R_1LpUSd51VwS0JKC,yes,yes,,
0,R_3MESKBVfhlFcjXU,Yes,No,How religious beliefs can affect perspectives,
0,R_3hsCpdO6SRRG7K6,yes,yes,Something mental process related or based on political beliefs,"Religious slider is too granular, the difference between a 23 and 27 is just noise, have fewer options in that section"
0,R_0qxIxYCswNGSyVH,Yes,No,I don't know,No
0,R_5zM4TTkmC0jWFMJ,yes,why the statues????,"affirmative action opinions could differ based on race, but the images of the thinker seem totally unrelated",none
0,R_2z8TWwqY6EdJT1I,Yes,Mini-study A seemed a bit strange.,The different background colors in mini-study A correlate to skin colors of people.,No
0,R_2E4xscP1icDte72,Yes,No,Comparing political views to moral views,Not really
0,R_339GaVjcpi5b6OI,yes,yes,none,no
0,R_30jmDDjF6Z4ecFH,Somewhat,Yes,I'm not sure,Nope
0,R_3PFZiC9dCO5EhWU,yes,yes,no relationship,
0,R_8iUfzCyD5IgTkqJ,Yes,Why did I have to look at pictures of the thinker?,I had to think,No
0,R_2ZCEADZcps5Ofpq,Yes,No,"The relationship between social/racial status, priming with pictures of statues, attitude toward affirmative action, and understanding of another's opinion through writing. ",No
