V1,V2,V3,V4,V5,V7,V8,V9,V10,FAE,Order,Condition,Q1,Q2,Q3,Q17,Q18,Q19_1,Q19_2,Q19_3,Q19_4,Q20,Q21,Q22_1,Q22_2,Q22_3,Q22_4,Q23,Q24,Q25_1,Q25_2,Q25_3,Q25_4,Q26,Q27,Q28_1,Q28_2,Q28_3,Q28_4,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q10,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q29,Q30,Q32,DV_1,Gender,Gender_TEXT,Age,Ethnicity,Ethnicity_TEXT,Religion,Religion_TEXT,Q37,Q38,Q46,Q48,Q50,Q52,Q54,Q56,Q58,Q60,Q62,Q58,Q60,Q62,Q64,Q66,Q68,Q70,Q72,Q74,Q76,Q78,Q80,Q82,Q84,Q86,Q88,Q90,Q92,Q94,Q96,Q98,Q100,Q102,Q104,Q106,Q108,Q110,Q112,Q114,Q64,Q66,Q68,Q40,Q41,Q42,Q43,Q83,LocationLatitude,LocationLongitude,LocationAccuracy
R_9LCe72TW1gEoz3b,Default Response Set,Anonymous,,,0,11/21/16 13:04,11/21/16 13:11,1,Anti,FAE First,Analytic,1,1,1,1,1,0,0,35.985,0,1,1,0,0,32.125,0,1,1,31.574,31.574,32.3,1,1,1,0,0,41.351,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,50,1,,20,7,,11,,1,3,,,,3,3,1,4,5,5,1,5,7,5,4,3,7,7,1,1,2,2,4,1,1,2,2,7,3,3,2,3,3,1,4,5,6,4,4,1,1,1,Yes,No,The pictures influence was to think more philosophically,None,1,38.08880615,-78.55919647,-1
R_1mCQMG9bl04JZTz,Default Response Set,Anonymous,,,0,11/21/16 13:08,11/21/16 13:19,1,Pro,FAE Second,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,37.801,0,1,1,0,0,34.016,0,1,1,0,0,32.039,0,1,1,0,0,31.612,0,1,2,1,72,1,,18,8,,2,,1,3,1,1,1,5,6,2,3,6,4,1,5,6,5,5,3,3,6,1,2,1,1,2,1,1,3,3,5,6,3,5,5,3,1,2,4,5,3,2,,,,Yes,Yes,Not sure...,No,1,38.08880615,-78.55919647,-1
R_1FM2LG4e0AQYTxC,Default Response Set,Anonymous,,,0,11/21/16 13:35,11/21/16 13:41,1,Pro,FAE Second,Control,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,33.597,0,1,1,0,0,32.036,0,1,1,0,0,31.978,0,1,1,32.068,32.068,32.642,1,1,1,1,100,1,,19,7,,12,Presbyterian,1,3,1,1,1,3,3,3,3,4,5,1,3,5,4,3,4,3,4,1,3,3,3,3,2,1,3,2,3,4,4,4,4,4,1,3,5,4,3,4,,,,Yes,No,None,None,1,38.08880615,-78.55919647,-1
R_2albsxz5BtDutYP,Default Response Set,Anonymous,,,0,11/21/16 13:38,11/21/16 13:44,1,Anti,FAE First,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,34.723,0,1,1,0,0,36.734,0,1,1,0,0,33.945,0,1,1,0,0,32.109,0,1,2,1,85,1,,18,1,,1,,1,3,,,,2,3,5,3,3,3,1,3,3,4,5,4,3,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,yes,no,religion and prejudice,no,1,38.03289795,-78.51370239,-1
R_116NVraS9RqmQKq,Default Response Set,Anonymous,,,0,11/21/16 13:36,11/21/16 13:47,1,Anti,FAE First,Analytic,1,1,1,1,1,34.887,34.887,35.707,1,1,1,45.357,45.357,45.852,1,1,1,0,0,41.235,0,1,1,0,0,33.44,0,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,100,2,,18,1,,1,,1,2,,,,2,2,4,3,6,5,1,5,7,5,5,4,5,5,1,2,4,5,5,2,1,5,5,7,7,6,6,6,6,1,5,5,4,4,5,1,1,1,yes,no,social programs,nah,1,38.03289795,-78.51370239,-1
R_Q3TqD4rPTOuurcd,Default Response Set,Anonymous,,,0,11/21/16 13:40,11/21/16 13:49,1,Pro,FAE Second,Analytic,1,1,1,1,1,0,0,34.735,0,1,1,0,0,32.071,0,1,1,0,0,32.743,0,1,1,0,0,33.45,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,20,1,,19,1,,11,,1,3,1,1,1,6,5,3,2,7,2,1,6,7,6,4,6,7,6,1,2,2,2,2,3,1,6,6,7,7,7,6,3,5,1,3,6,2,7,5,,,,Yes,The 4 pictures of Rodin thing was weiiiiird,"My guess: you want to see if completing the look-at-the-pictures mini-study before the affirmative action questionnaire will make people less supportive of affirmative action. Looking at ""The Thinker"" primes concepts of individuality, which will make people resist collectivism and government aid.",No,1,38.03289795,-78.51370239,-1
R_3MbRTheLIN2ZuQD,Default Response Set,Anonymous,,,0,11/21/16 13:42,11/21/16 13:50,1,Anti,FAE First,Analytic,1,1,1,1,1,2.906,25.826,41.259,2,1,1,0,0,43.1,0,1,1,40.686,40.686,43.606,1,1,1,19.527,19.527,31.663,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,100,1,,19,1,,1,,1,1,,,,4,4,2,7,4,5,1,6,5,1,1,2,2,5,1,2,1,2,2,2,1,2,3,7,3,4,3,6,3,1,4,4,4,4,4,1,1,1,not at all,random questions,I'm assuming you'll give me a bs connection,nope,1,38.08880615,-78.55919647,-1
R_1kNOujq9KXiM6qY,Default Response Set,Anonymous,,,0,11/21/16 13:55,11/21/16 14:04,1,Pro,FAE Second,Analytic,1,1,2,1,1,27.39,28.228,33.034,2,1,1,0,0,67.126,0,1,1,0,0,33.092,0,1,1,0,0,32.902,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,97,2,,18,3,,2,,1,1,1,1,1,2,3,2,1,4,3,1,6,4,4,5,5,5,7,1,4,3,3,4,4,1,3,3,6,5,6,7,7,3,1,5,4,4,2,3,,,,yes,yes,nothing,nothing,1,38.08880615,-78.55919647,-1
R_1Kj3WwPVR901XPz,Default Response Set,Anonymous,,,0,11/21/16 13:59,11/21/16 14:10,1,Pro,FAE First,Analytic,1,1,1,1,1,0,0,33.264,0,1,1,0,0,33.105,0,1,1,0,0,32.667,0,1,1,0,0,33.445,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,51,1,,19,1,,11,,1,3,1,1,1,2,2,4,3,6,3,1,5,5,5,5,5,5,7,1,1,2,1,1,1,1,2,1,3,6,4,5,2,2,1,4,3,3,3,5,,,,Yes,No,Religion and how it affects societal views,No,1,38.08880615,-78.55919647,-1
R_1OZZ25c27dz5NYh,Default Response Set,Anonymous,,,0,11/21/16 14:10,11/21/16 14:22,1,Anti,FAE Second,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,44.826,0,1,1,0,0,34.305,0,1,1,0,0,32.301,0,1,1,0,0,32.339,0,1,2,1,100,2,,19,10,Bi-Racial; white & cape verdean,10,,1,3,,,,4,4,1,2,7,4,1,5,6,7,5,3,3,5,1,1,4,1,1,2,1,6,4,6,6,6,6,4,4,1,7,7,7,6,4,1,1,1,Yes,Yes,race & gender to personal politics,no,1,38.08880615,-78.55919647,-1
R_27CjLidOE7i29ye,Default Response Set,Anonymous,,,0,11/21/16 14:17,11/21/16 14:30,1,Pro,FAE Second,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,37.029,0,1,1,8.475,16.256,51.743,5,1,1,0,0,33.308,0,1,1,0,0,33.203,0,1,2,1,50,1,,18,6,,11,,1,3,1,1,1,4,4,3,3,6,4,1,5,4,3,3,6,6,5,1,2,2,2,2,4,1,2,5,6,6,6,3,4,5,1,6,6,6,6,4,,,,yup.,"these questions seem to tbe the steretypical ""i bet this is what you think, you have no real world experience"" liberals would ask of people who don't support affirmative action.",can't think of one yet,"seeing as i can't tell the connection, how could i offer meaningful help?",1,38.08880615,-78.55919647,-1
R_uxpBivugbEf2pON,Default Response Set,Anonymous,,,0,11/21/16 13:49,11/21/16 14:47,1,Pro,FAE Second,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,78.533,106.55,107.752,3,1,1,34.949,34.949,35.734,1,1,1,0,0,31.896,0,1,1,0,0,31.741,0,1,2,1,10,1,,18,8,,2,,1,3,1,1,1,5,6,2,2,6,4,1,6,7,6,6,7,7,7,1,3,2,2,2,3,1,3,2,7,7,7,7,1,7,1,4,6,4,5,4,,,,Sort of,No,No idea,N/A,1,38.08880615,-78.55919647,-1
R_cC3Q3Qb3tMfbEul,Default Response Set,Anonymous,,,0,11/21/16 15:03,11/21/16 15:21,1,Anti,FAE First,Analytic,1,1,1,1,1,0,0,33.015,0,1,1,0,0,33.549,0,1,1,0,0,31.89,0,1,1,0,0,33.737,0,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,40,1,,18,1,,2,,1,1,,,,5,6,3,4,5,4,1,5,5,3,5,6,5,5,1,6,3,5,3,3,1,4,5,6,5,4,3,3,5,1,6,5,6,5,4,1,1,1,Yes,No,None,no,1,38.03289795,-78.51370239,-1
R_1E5TZkOZ0k2Rx30,Default Response Set,Anonymous,,,0,11/21/16 16:01,11/21/16 16:11,1,Anti,FAE Second,Analytic,1,1,1,1,1,0,0,32.933,0,1,1,0,0,32.372,0,1,1,0,0,31.608,0,1,1,0,0,31.904,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,100,2,,20,10,White/Korean,2,,1,3,,,,4,5,5,6,6,4,1,5,4,1,2,6,6,6,1,1,2,2,2,2,1,6,5,5,5,5,5,2,4,1,4,4,4,3,4,1,1,1,yes,no,the order to determine if multiple perspectives (empathy) relates to feelings about discrimination,no,1,38.08880615,-78.55919647,-1
R_2VEfPeqDo179Oo2,Default Response Set,Anonymous,,,0,11/21/16 16:49,11/21/16 16:56,1,Pro,FAE First,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,36.784,0,1,1,0,0,32.766,0,1,1,0,0,41.605,0,1,1,0,0,38.535,0,1,2,1,19,1,,18,8,,11,,1,3,1,1,1,4,4,4,4,4,3,1,7,3,3,3,3,3,3,1,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,,,,yes,yes,i am not sure,i am not sure,1,37.9539032,-78.35839844,-1
R_3LjqLFBVFq67pyb,Default Response Set,Anonymous,,,0,11/21/16 16:48,11/21/16 16:59,1,Pro,FAE First,Control,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,41.302,0,1,1,0,0,32.991,0,1,1,0,0,32.989,0,1,1,0,0,34.121,0,1,1,1,40,2,,19,2,,11,,1,3,1,1,1,5,5,2,2,5,4,1,5,6,3,6,6,6,6,1,3,3,3,3,3,1,4,3,5,5,5,5,3,3,1,3,3,5,3,3,,,,Yes,Yes,No idea,Explain the images presented in the first part,1,36.81239319,-76.23760223,-1
R_qPX0uGCc6aC50IN,Default Response Set,Anonymous,,,0,11/21/16 17:04,11/21/16 17:14,1,Anti,FAE Second,Analytic,1,1,1,1,1,0,0,35.653,0,1,1,0,0,33.491,0,1,1,0,0,36.06,0,1,1,0,0,34.743,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,5,1,,18,8,,11,,1,3,,,,6,6,5,4,3,3,1,4,3,4,3,4,6,6,1,4,4,5,4,3,1,3,3,7,1,4,6,4,4,1,4,4,5,7,1,1,1,1,Yes,No,"I have been primed to think more deeply about the presented issues, as the different perspectives of the thinker statue shown to me prior to completing the other sections of the study made a subconscious entry into my employment of cognitive judgement. ","Flash images of various representations prior to asking subjects questions, measuring the level of effectiveness which subconscious entry wields. ",1,38.08880615,-78.55919647,-1
R_9ZYg1kctbJgJ8ZP,Default Response Set,Anonymous,,,0,11/21/16 17:11,11/21/16 17:17,1,Anti,FAE Second,Control,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,45.953,0,1,1,0,0,36.096,0,1,1,0,0,40.621,0,1,1,0,0,35.441,0,1,2,1,,2,,19,1,,1,,1,1,,,,3,4,5,3,6,4,1,1,6,3,3,4,4,5,1,6,4,3,5,1,1,5,3,5,4,5,5,3,3,1,3,6,5,3,5,1,1,1,yes,no,peole's backgrounds correlating with discrimination,no,1,38.08880615,-78.55919647,-1
R_2YkOJ12shcflSjA,Default Response Set,Anonymous,,,0,11/21/16 17:08,11/21/16 17:18,1,Pro,FAE First,Analytic,1,1,2,1,1,0,0,34.257,0,1,1,0,0,32.552,0,1,1,0,0,32.125,0,1,1,0,0,32.228,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,,19,1,,11,,1,3,1,1,1,4,4,2,1,7,3,1,7,7,6,7,7,7,7,1,3,2,3,1,1,1,5,3,7,5,6,6,5,6,1,5,6,5,6,6,,,,Yes,No,They seem relatively unrelated ,No,1,38.08880615,-78.55919647,-1
R_1ojqlLQMOvXnkMd,Default Response Set,Anonymous,,,0,11/21/16 17:21,11/21/16 17:32,1,Anti,FAE First,Control,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,33.325,0,1,1,0,0,32.071,0,1,1,0,0,35.008,0,1,1,0,0,32.778,0,1,2,1,1,1,,18,1,,11,,1,1,,,,4,4,3,2,7,3,1,6,6,5,6,6,2,6,1,2,2,2,2,2,1,6,6,2,6,7,6,1,3,1,3,5,4,3,5,1,1,1,yes,no,none,no,1,38.08880615,-78.55919647,-1
R_1mXFJQpuADLUcdO,Default Response Set,Anonymous,,,0,11/21/16 18:48,11/21/16 18:57,1,Pro,FAE Second,Analytic,1,1,1,1,1,0,0,34.902,0,1,1,0,0,32.873,0,1,1,0,0,32.61,0,1,1,0,0,32.398,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,10,2,,18,1,,12,Agnostic,1,3,1,1,1,1,4,1,2,7,3,1,4,6,3,4,7,7,7,1,3,1,3,3,2,1,6,6,7,6,6,6,6,6,1,4,5,5,6,5,,,,Yes,No,I have no clue - maybe to compile different information about my personality.,No,1,38.08880615,-78.55919647,-1
R_bOvzbKfczcOfkgV,Default Response Set,Anonymous,,,0,11/21/16 18:57,11/21/16 19:10,1,Pro,FAE Second,Analytic,1,1,2,1,1,0,0,33.886,0,1,1,0,0,33.22,0,1,1,0,0,34.74,0,1,1,0,0,34.31,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,100,1,,18,1,,1,,1,3,1,1,1,3,2,2,2,4,5,1,5,6,3,5,3,4,6,1,2,1,1,2,1,1,2,1,6,4,4,4,3,2,1,4,6,6,5,4,,,,Yeah,Kinda,Perspective,No,1,38.08880615,-78.55919647,-1
